galaxy,R_kpc,Vobs_kms,Verr_kms,Vmodel_kms,resid_kms,z,y,a_bar_mps2,a_vac_mid_mps2,a_vac_out_mps2
DDO154,0.49,13.8,1.6,17.71825096909658,-3.9182509690965794,-2.448906855685362,-1.3056660749215632,5.936290849604431e-12,3.1346808306000667e-12,1.1692265865201513e-11
DDO154,0.99,21.6,0.8,24.543861720761537,-2.943861720761536,-3.67982715095192,-1.3559867952475453,5.2868191057195954e-12,2.9018199845228653e-12,1.1531049444302173e-11
DDO154,1.48,28.9,0.7,28.893809673399904,0.006190326600094664,0.00884332371442095,-1.433424615294205,4.4234042487768284e-12,2.5756354319641058e-12,1.1281851135816195e-11
DDO154,1.97,34.3,0.5,32.68364689862503,1.616353101374969,3.232706202749938,-1.4755935961954427,4.014095030530957e-12,2.4131479027705244e-12,1.1145689873086624e-11
DDO154,2.47,38.2,0.4,35.708928439764,2.4910715602360014,6.2276789005900035,-1.5299146858054582,3.5421468342912323e-12,2.218323161919622e-12,1.0969922802494445e-11
DDO154,2.96,42.0,0.2,38.63880327372642,3.361196726273583,16.805983631367916,-1.556389126757272,3.3326685205945295e-12,2.128948761245724e-12,1.0884141195938958e-11
DDO154,3.46,44.6,0.2,41.52847273831708,3.071527261682924,15.35763630841462,-1.5700551810110297,3.2294314104035377e-12,2.0841811117790943e-12,1.0839836867901592e-11
DDO154,3.95,46.3,0.2,43.44556531884019,2.854434681159809,14.272173405799045,-1.6198780096391348,2.8794081953829544e-12,1.928524116312097e-12,1.0678210662528573e-11
DDO154,4.44,47.4,0.3,44.686919843804,2.713080156196,9.043600520653333,-1.6946165284189818,2.424179183602526e-12,1.7158458034791552e-12,1.0435604715428977e-11
DDO154,4.94,48.2,0.6,45.780121178040865,2.419878821959138,4.033131369931897,-1.7703916676407239,2.036055342130117e-12,1.5233931059347715e-12,1.0189718382008773e-11
DDO154,5.43,47.4,0.7,46.68108836668228,0.7189116333177168,1.0270166190253098,-1.8462226840109817,1.7098521627259026e-12,1.3517418132630587e-12,9.94404131737629e-12
DDO154,5.92,45.5,1.3,47.51724901897693,-2.0172490189769334,-1.5517300145976411,-1.918915095797682,1.4463258562851105e-12,1.2048330828523211e-12,9.709178495089937e-12
DDO161,0.6,16.0,3.53,20.22782667487427,-4.227826674874269,-1.1976846104459686,-1.2471182393609326,6.7930217744490035e-12,3.4282155369426967e-12,1.1878985475062312e-11
DDO161,0.73,16.6,4.83,22.785487008075506,-6.185487008075505,-1.2806391321067299,-1.2090378100035313,7.415551170106595e-12,3.633105710474016e-12,1.1999872779877163e-11
DDO161,0.85,18.6,2.5,24.847856148333253,-6.247856148333252,-2.4991424593333007,-1.1902911541309762,7.742658274516285e-12,3.738237382128387e-12,1.2059208349023753e-11
DDO161,0.98,20.0,7.58,27.215054825916322,-7.215054825916322,-0.9518541986696996,-1.1556961362233724,8.384653305932656e-12,3.939955816980631e-12,1.2168380934628642e-11
DDO161,1.07,21.4,4.03,28.76336077832643,-7.363360778326431,-1.8271366695599083,-1.1361869750677311,8.769892522142388e-12,4.0582709913690525e-12,1.2229751641922189e-11
DDO161,1.54,28.9,2.74,35.871429631477504,-6.9714296314775055,-2.544317383750914,-1.0717232265317218,1.0173210234775976e-11,4.473920266249961e-12,1.2431463140527043e-11
DDO161,2.02,32.9,2.65,41.55589798801495,-8.65589798801495,-3.2663765992509246,-1.0532280643635723,1.0615811092355809e-11,4.600512272359964e-12,1.2489013069998081e-11
DDO161,2.49,35.2,2.88,45.8546078788559,-10.654607878855899,-3.699516624602743,-1.0631520541224717,1.037598157597054e-11,4.532165944812877e-12,1.2458151979489589e-11
DDO161,2.96,37.6,3.05,49.023776678357414,-11.423776678357413,-3.745500550281119,-1.0952330348874897,9.637140955901422e-12,4.3178168944755435e-12,1.2358097192909333e-11
DDO161,3.43,40.6,3.68,51.47070488950399,-10.87070488950399,-2.9539958938869537,-1.1371057081434413,8.751359765370244e-12,4.0526236350790114e-12,1.2226864809396417e-11
DDO161,3.9,42.7,3.25,53.74518762525559,-11.045187625255586,-3.398519269309411,-1.1732123665060123,8.053207318582195e-12,3.836550812313637e-12,1.2113158376001351e-11
DDO161,4.37,45.5,2.99,55.667920322808634,-10.167920322808634,-3.400642248430981,-1.2116453257819866,7.371161393006305e-12,3.618709346140014e-12,1.1991610216272196e-11
DDO161,4.86,48.9,1.96,57.50874706407398,-8.608747064073981,-4.392217889833664,-1.2490567014088598,6.762768866392586e-12,3.4180880100616405e-12,1.1872819489084815e-11
DDO161,5.34,51.5,1.53,59.19657613124153,-7.696576131241528,-5.030441915844136,-1.2828926768122146,6.255882300723216e-12,3.2458691517555294e-12,1.1765010720178243e-11
DDO161,5.81,53.0,1.86,60.68981139867049,-7.689811398670493,-4.134307203586286,-1.3158316060232338,5.798953683387734e-12,3.086238176168783e-12,1.1659749126656364e-11
DDO161,6.28,55.0,1.48,62.247496321711,-7.247496321710997,-4.896956974129052,-1.3422479396222342,5.456740567845898e-12,2.9636928260885736e-12,1.1575127336890514e-11
DDO161,6.75,57.6,0.99,63.77405893561911,-6.174058935619108,-6.2364231672920285,-1.365784839356379,5.168879487352939e-12,2.858454770520342e-12,1.1499588103106353e-11
DDO161,7.22,59.7,1.19,65.38412899508558,-5.6841289950855725,-4.776578987466868,-1.3833601210160034,4.963878296849268e-12,2.7822238897169495e-12,1.1443101053451539e-11
DDO161,7.69,60.5,1.26,67.09803313340005,-6.598033133400051,-5.236534232857183,-1.3948805524473291,4.833933745303136e-12,2.7333195493097162e-12,1.1406038874562179e-11
DDO161,8.16,61.8,1.33,68.80025469684435,-7.000254696844351,-5.263349396123572,-1.4043373920530646,4.729811729893684e-12,2.6937937401537753e-12,1.1375595384505121e-11
DDO161,8.64,62.9,1.35,70.28135163059405,-7.381351630594047,-5.467667874514109,-1.4194089246633392,4.568486242133701e-12,2.6319340973997937e-12,1.1327041291866925e-11
DDO161,9.11,63.0,2.09,71.73662849566796,-8.736628495667958,-4.180205021850698,-1.431934876470439,4.43860368704203e-12,2.5815640083328592e-12,1.1286656089119093e-11
DDO161,9.58,64.5,2.38,72.82828381901741,-8.328283819017415,-3.4992789155535355,-1.4532092859221932,4.226413258867808e-12,2.4981312597366346e-12,1.1218002697510905e-11
DDO161,10.05,65.6,1.08,73.78651601354596,-8.186516013545969,-7.580107419949971,-1.4766096173184569,4.004715131488247e-12,2.4093572627355552e-12,1.1142405840129242e-11
DDO161,10.52,67.5,3.22,74.26386198612568,-6.763861986125676,-2.1005782565607687,-1.512672379083705,3.685605666542481e-12,2.278461739600259e-12,1.1025752512411344e-11
DDO161,10.99,66.8,2.37,74.61216593393554,-7.812165933935546,-3.2962725459643654,-1.551460532273768,3.370704755629134e-12,2.145320066792536e-12,1.0900115554681739e-11
DDO161,11.46,66.8,0.95,74.82399131652275,-8.023991316522753,-8.44630664897132,-1.5935451644924832,3.0593987263778023e-12,2.009342358805882e-12,1.0763652549182344e-11
DDO161,11.94,66.6,0.96,75.040687705622,-8.440687705622011,-8.792383026689595,-1.6357536999781415,2.776051675049069e-12,1.88132333525726e-12,1.0626685164951213e-11
DDO161,12.41,66.8,0.99,75.22156607269847,-8.421566072698468,-8.50663239666512,-1.6774212282030572,2.5220867343505574e-12,1.7626762079985075e-12,1.0491425300090401e-11
DDO161,12.9,66.3,0.74,75.54184155279701,-9.241841552797013,-12.488975071347314,-1.7157275974167816,2.30915799401821e-12,1.6599905899589977e-12,1.036707878287323e-11
DDO161,13.37,66.1,1.31,75.68813150293752,-9.588131502937529,-7.319184353387426,-1.7572756394883975,2.0984837308604776e-12,1.5551431183389348e-12,1.0232259793654268e-11
DDO168,0.41,15.0,4.1,19.032073083722675,-4.0320730837226755,-0.983432459444555,-1.027052092159028,1.1275327208174567e-11,4.785554556062567e-12,1.2570202261888048e-11
DDO168,0.82,23.4,1.3,29.82611330670361,-6.426113306703613,-4.943164082079702,-0.8727254122807975,1.6086287776373918e-11,6.0300505750883565e-12,1.3042047586687802e-11
DDO168,1.24,29.2,1.5,34.846740230233365,-5.646740230233366,-3.764493486822244,-0.947821499850678,1.3531930114006174e-11,5.3900900391678e-12,1.2813972384366152e-11
DDO168,1.64,36.2,1.1,37.418561547284845,-1.2185615472848426,-1.1077832248044022,-1.0543080500965567,1.058944492479519e-11,4.5930268275086026e-12,1.2485656696038925e-11
DDO168,2.06,44.0,1.1,41.14257462798488,2.857425372015122,2.597659429104656,-1.0853836356707682,9.858199674073904e-12,4.382570183943029e-12,1.238886218327222e-11
DDO168,2.47,52.1,1.2,43.512310038285655,8.587689961714347,7.156408301428622,-1.143579201388688,8.621881402459346e-12,4.013044777416681e-12,1.2206514669271266e-11
DDO168,2.89,52.9,1.7,45.497935785936996,7.402064214063003,4.354155420037061,-1.2026860468788934,7.524804119664498e-12,3.668404756065046e-12,1.2019990357911671e-11
DDO168,3.3,54.8,2.2,46.99918536012831,7.800814639871689,3.5458248363053126,-1.264318367368573,6.529243699969914e-12,3.339350104484718e-12,1.182423433536052e-11
DDO168,3.71,55.0,2.5,48.50493136478965,6.495068635210352,2.5980274540841406,-1.3155150372381295,5.8031822357444335e-12,3.0877358413474424e-12,1.1660762150668778e-11
DDO168,4.12,52.0,2.7,49.72496595376028,2.2750340462397176,0.8426052023110064,-1.369783946679403,5.1215014424248374e-12,2.8409346520929814e-12,1.148674085727551e-11
DDO170,1.87,27.7,3.0,32.093126972783736,-4.393126972783737,-1.464375657594579,-1.4587521760252935,4.172814415310666e-12,2.476823068857341e-12,1.1200103436797511e-11
DDO170,3.36,42.4,1.5,42.80619319192605,-0.4061931919260502,-0.2707954612840335,-1.4694185237232258,4.0715776554933934e-12,2.436309983910639e-12,1.1165646038065521e-11
DDO170,4.86,52.5,1.0,51.68725451129271,0.8127454887072929,0.8127454887072929,-1.4608543940616925,4.1526645646575096e-12,2.468787458700187e-12,1.1193313638703823e-11
DDO170,6.35,55.6,1.0,58.72209751154101,-3.122097511541007,-3.122097511541007,-1.4740102925504266,4.028755890391864e-12,2.4190664387651712e-12,1.1150807209485531e-11
DDO170,7.85,58.6,1.1,64.26366366601988,-5.663663666019879,-5.1487851509271625,-1.5087751677386037,3.718827880944682e-12,2.29227045984883e-12,1.103836683060024e-11
DDO170,9.34,59.0,1.2,67.9908825910135,-8.990882591013502,-7.492402159177919,-1.578258528815556,3.169003488221152e-12,2.0577452989872328e-12,1.0813235412361196e-11
DDO170,10.83,60.0,1.3,70.30780927592606,-10.307809275926061,-7.929084058404662,-1.6760804613963913,2.5298850266934445e-12,1.7663790637085576e-12,1.0495777867722005e-11
DDO170,12.33,62.2,1.0,71.6767688655929,-9.476768865592902,-9.476768865592902,-1.7945923566015949,1.9257011486157932e-12,1.4664453685879484e-12,1.0111256108496303e-11
ESO079-G014,0.41,33.2,11.6,26.88419934992463,6.315800650075374,0.5444655732823599,-0.5540160161114438,3.3509290301057276e-11,9.648514812326326e-12,1.3971614529522775e-11
ESO079-G014,0.98,50.4,11.8,43.543267683632735,6.856732316367264,0.5810790098616325,-0.498181714496716,3.8106541235967104e-11,1.0465990114618908e-11,1.4127161563926242e-11
ESO079-G014,1.78,53.9,9.75,57.43688895957292,-3.53688895957292,-0.36275784200747896,-0.5237924511076598,3.592433974313821e-11,1.0083140030526864e-11,1.4056107890346337e-11
ESO079-G014,2.69,67.6,5.1,70.09005431810559,-2.4900543181055923,-0.4882459447265868,-0.5326458197200934,3.519941342662835e-11,9.953928331617185e-12,1.403142873971343e-11
ESO079-G014,3.36,81.7,5.06,76.87704067803881,4.822959321961193,0.9531540161978642,-0.555354064779092,3.340620803050979e-11,9.629692494236154e-12,1.3967858001255364e-11
ESO079-G014,4.39,102.0,5.35,83.09093416597196,18.90906583402804,3.5344048287902883,-0.6244649793043971,2.8491562486555165e-11,8.703762039904724e-12,1.3772044763552675e-11
ESO079-G014,5.65,116.0,6.44,90.04513022767716,25.954869772322837,4.03025928141659,-0.6827467674743924,2.491348476491638e-11,7.989577168241306e-12,1.360427457022114e-11
ESO079-G014,6.34,132.0,9.1,94.43665376642747,37.56334623357253,4.127840245447531,-0.6956950491267099,2.4181664806941443e-11,7.838687827033906e-12,1.356668557485317e-11
ESO079-G014,6.89,137.0,5.25,98.7855934407253,38.21440655927471,7.278934582718992,-0.6912459448882297,2.4430665707518858e-11,7.890224725336609e-12,1.357961409013096e-11
ESO079-G014,8.34,154.0,4.2,111.4514802008821,42.5485197991179,10.130599952170927,-0.658901957708112,2.6319600222282473e-11,8.274732435118115e-12,1.3673198509792031e-11
ESO079-G014,10.04,163.0,3.28,125.87774746090298,37.12225253909702,11.317759920456409,-0.6222678548538295,2.8636068406110648e-11,8.731843347220745e-12,1.3778322981418822e-11
ESO079-G014,11.65,170.0,2.41,133.5241101968967,36.475889803103314,15.135223984690171,-0.6416562648075148,2.738577156611039e-11,8.486998240923333e-12,1.3722803446972154e-11
ESO079-G014,13.36,175.0,2.18,137.9334697119065,37.0665302880935,17.00299554499702,-0.6877177691259297,2.462994697839384e-11,7.93132379625698e-12,1.3589857053459122e-11
ESO079-G014,15.06,177.0,2.23,139.1936267417352,37.80637325826481,16.95353060908736,-0.7546281517097315,2.111315297259196e-11,7.18564779052617e-12,1.339420294141212e-11
ESO079-G014,16.67,178.0,2.03,139.65999514825444,38.34000485174556,18.88670189741161,-0.8193778022942336,1.8188774711193784e-11,6.5281561925658824e-12,1.3202158554530732e-11
ESO116-G012,0.25,20.9,3.4,17.470928209920412,3.429071790079586,1.008550526493996,-0.7900446716306309,1.9459719434127788e-11,6.818556329690939e-12,1.3289478734843813e-11
ESO116-G012,0.83,40.0,3.29,33.957133765846194,6.042866234153806,1.8367374571896067,-0.7038057463357759,2.3734249295241972e-11,7.745562436444556e-12,1.3543082886536075e-11
ESO116-G012,1.38,51.5,2.96,47.920775040394815,3.5792249596051846,1.209197621488238,-0.5893215768933,3.0892970460879735e-11,9.16344003952873e-12,1.3872051568722084e-11
ESO116-G012,1.85,67.9,3.45,57.29378166699885,10.606218333001152,3.0742661834785947,-0.5500569869413915,3.3816157619755966e-11,9.704412247782609e-12,1.3982721544885784e-11
ESO116-G012,2.68,80.2,2.93,61.26617138712379,18.933828612876212,6.462057547056728,-0.6985186310442235,2.402495677677317e-11,7.806147350311092e-12,1.3558473738148467e-11
ESO116-G012,3.19,83.3,3.08,65.97250645826182,17.32749354173818,5.625809591473434,-0.7156376688632451,2.30963619659327e-11,7.611603666552353e-12,1.3508572826515131e-11
ESO116-G012,3.68,91.4,2.83,70.01721830053141,21.382781699468595,7.555753250695616,-0.7313885552838971,2.227371665932629e-11,7.436705645549597e-12,1.3462489593812804e-11
ESO116-G012,4.13,102.0,5.4,72.94740711694412,29.05259288305588,5.380109793158496,-0.7536158240929881,2.1162424511843393e-11,7.196413209660932e-12,1.339718473917142e-11
ESO116-G012,5.23,105.0,4.21,76.56118192234925,28.43881807765075,6.755063676401604,-0.8495505346651391,1.6968002183011294e-11,6.241798113792761e-12,1.311180414864819e-11
ESO116-G012,6.05,109.0,2.1,77.1773401495973,31.8226598504027,15.15364754781081,-0.9438146981279671,1.3657353415333247e-11,5.422527345603859e-12,1.2826217175977061e-11
ESO116-G012,6.81,108.0,2.1,77.57392673524637,30.426073264753626,14.488606316549346,-1.026877382259733,1.1279864009005791e-11,4.786813230476503e-12,1.2570743105085485e-11
ESO116-G012,7.56,109.0,2.1,79.53496641229418,29.46503358770582,14.030968375098007,-1.070566773421747,1.0200335880883027e-11,4.481736918449927e-12,1.243506595197787e-11
ESO116-G012,8.32,110.0,2.1,82.01609941231425,27.983900587685753,13.325666946517025,-1.0987513417257,9.559383929035046e-12,4.294909377492046e-12,1.2347097827478943e-11
ESO116-G012,9.09,111.0,2.33,83.87163698269552,27.12836301730448,11.643074256353854,-1.1354614396382168,8.784555811431238e-12,4.062736112528791e-12,1.2232031180442667e-11
ESO116-G012,9.86,112.0,4.74,83.3414027662533,28.658597233746704,6.046117559862173,-1.2176068168365328,7.270669929819732e-12,3.586000652230612e-12,1.1972711248705973e-11
ESO444-G084,0.26,18.3,1.8,13.378666811238643,4.921333188761357,2.7340739937563097,-1.2384604212493089,6.929801980493937e-12,3.473801064083048e-12,1.1906510613809348e-11
ESO444-G084,0.77,35.3,3.0,25.3946553269017,9.905344673098298,3.301781557699433,-1.0698193586431237,1.0217905631742538e-11,4.486795773819985e-12,1.2437394139028473e-11
ESO444-G084,1.29,47.8,4.63,32.20098061506746,15.59901938493254,3.3691186576528165,-1.1035777041780694,9.45373755880633e-12,4.2636745705899326e-12,1.2332000754438978e-11
ESO444-G084,1.81,52.8,1.26,36.72838798539096,16.071612014609038,12.755247630642094,-1.1677804349798273,8.154565229676605e-12,3.868335915366305e-12,1.2130295372932972e-11
ESO444-G084,2.32,58.0,3.11,39.63427719504406,18.365722804955936,5.905377107702874,-1.2536776441123627,6.691193695399414e-12,3.3940615000205505e-12,1.1858116253959919e-11
ESO444-G084,3.39,63.1,1.35,41.42846984138289,21.67153015861711,16.05298530267934,-1.5520499849973353,3.3661329191547007e-12,2.1433557187620406e-12,1.0898205155592612e-11
ESO444-G084,4.44,62.7,7.36,42.51366773569399,20.18633226430601,2.7427081880850555,-1.8264244952866693,1.7896032128037684e-12,1.3946625976356877e-12,1.0008128776755692e-11
ESO563-G021,0.45,18.9,9.78,51.82207588616219,-32.92207588616219,-3.366265428032944,0.1055876613712859,1.5302729709426741e-10,2.4737377980993033e-11,1.5639815202991544e-11
ESO563-G021,1.34,58.3,10.5,94.76397172256041,-36.463971722560416,-3.4727592116724204,0.1629255370461679,1.7462514634899122e-10,2.67947374637423e-11,1.5765785394866615e-11
ESO563-G021,2.23,74.1,5.69,110.06034859004762,-35.96034859004763,-6.319920666089214,0.05861239694847031,1.3733892477864865e-10,2.316484490305582e-11,1.5534203530899313e-11
ESO563-G021,3.12,119.0,4.27,118.81689122892244,0.1831087710775563,0.04288261617741366,-0.0339404658562788,1.1097899310015748e-10,2.0340728468349548e-11,1.5319866189294534e-11
ESO563-G021,4.01,141.0,3.76,129.28407385950598,11.71592614049402,3.1159378033228777,-0.07616196261523339,1.0069763793665612e-10,1.916426061317149e-11,1.5219372810516273e-11
ESO563-G021,4.9,195.0,4.54,143.79989397604706,51.20010602395294,11.277556392941177,-0.0697695346829202,1.0219077937053018e-10,1.9338119328300842e-11,1.5234695731021934e-11
ESO563-G021,5.79,227.0,4.2,161.89743553455858,65.10256446544142,15.500610587009861,-0.03370528744397671,1.1103910653133543e-10,2.034747016157955e-11,1.5320421223727384e-11
ESO563-G021,6.69,246.0,4.24,176.61922872458354,69.38077127541646,16.363389451749164,-0.018593037889003752,1.14970973356202e-10,2.0785172216499563e-11,1.5355976645933465e-11
ESO563-G021,7.58,268.0,5.56,185.7509305201609,82.24906947983911,14.792998107884733,-0.030888581132396464,1.1176161397962861e-10,2.0428380232028294e-11,1.532706472567639e-11
ESO563-G021,8.47,283.0,2.96,196.3940132171032,86.60598678289679,29.258779318546214,-0.030676303274551002,1.1181625504937721e-10,2.0434490326661593e-11,1.5327565099963717e-11
ESO563-G021,10.23,291.0,9.81,212.55814273926677,78.44185726073323,7.996111851247016,-0.04635610454794529,1.0785123970464304e-10,1.9987823093563508e-11,1.5290490039926213e-11
ESO563-G021,12.06,310.0,4.74,225.08500186472872,84.91499813527128,17.914556568622633,-0.0721173576805092,1.0163982025884685e-10,1.9274090357969048e-11,1.5229072360819566e-11
ESO563-G021,13.44,310.0,20.4,229.11003090000443,80.88996909999557,3.965194563725273,-0.10993215599515102,9.316420665379618e-11,1.8270222761800988e-11,1.513778954123373e-11
